ItemCode,NumeroDescripcionesOriginales,NumeroDescripcionesNormalizadas,DescripcionMasFrecuente,PorcentajeCorrespondencia,PrimeraFecha,UltimaFecha,CategoriasAsociadas,ClasificacionCorrespondencia
300914,1,1,"ABRAZ. AC. GALV. TP. U 2 1/2"" X 1/2""",100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300915,1,1,"ABRAZ. AC. GALV. TP. U 3/4"" X 1/2""",100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300916,1,1,"BRIDA SOLD H/N CED 40 1 1/2 "" (4 HUECOS)",100.0,2024-09-24 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300918,1,1,"BRIDA SOLD H/N CED 40 1 1/4 "" (4 HUECOS)",100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300919,1,1,"BRIDA SOLD H/N CED 40 1 """,100.0,2025-07-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300920,1,1,"BRIDA SOLD H/N CED 40 1/2 "" (4 HUECOS)",100.0,2025-09-01 00:00:00,2025-09-01 00:00:00,FERRETERIA,Correspondencia univoca
300921,1,1,"BRIDA SOLD H/N CED 40 10 "" (12 HUECOS)",100.0,2025-07-01 00:00:00,2025-07-01 00:00:00,FERRETERIA,Correspondencia univoca
300925,1,1,"BRIDA SOLD H/N CED 40 2 1/2 "" (4 HUECOS)",100.0,2025-07-01 00:00:00,2025-08-01 00:00:00,"FERRETERIA, SERVICIOS DE MANTENIMIENTO",Correspondencia univoca
300926,1,1,"BRIDA SOLD H/N CED 40 2 "" (4 HUECOS)",100.0,2025-06-01 00:00:00,2025-08-01 00:00:00,"FERRETERIA, SERVICIOS DE MANTENIMIENTO",Correspondencia univoca
300928,1,1,"BRIDA SOLD H/N CED 40 3 "" (4 HUECOS)",100.0,2025-06-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300957,1,1,BREAKER 2 P X 10 A PARA RIEL,100.0,2024-03-06 00:00:00,2024-06-24 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
300958,1,1,BREAKER 2 P X 16 A PARA RIEL,100.0,2024-03-06 00:00:00,2025-06-01 00:00:00,"REPUESTOS ELECTRICOS, REPUESTOS MECANICOS",Correspondencia univoca
300959,1,1,BREAKER 2 P X 32 A PARA RIEL,100.0,2024-03-06 00:00:00,2024-03-06 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
300960,1,1,BREAKER 2 P X 4A PARA RIEL,100.0,2024-03-06 00:00:00,2024-03-06 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
300966,1,1,BORNERA PARA RIEL 2.5 MM,100.0,2024-06-24 00:00:00,2024-07-09 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
300978,1,1,BASE PARA RELE DE 14 PINES,100.0,2024-03-14 00:00:00,2024-03-14 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
300995,1,1,"BARRA DE BRONCE 2 1/2"" X 20 CM",100.0,2024-09-09 00:00:00,2024-09-09 00:00:00,FERRETERIA,Correspondencia univoca
301005,1,1,BASE P/RELE 8 PINES,100.0,2024-03-20 00:00:00,2024-03-20 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301008,1,1,BALDE PLASTICO C/AGARRADERA DE 20LT,100.0,2024-06-21 00:00:00,2024-06-21 00:00:00,MATERIALES DE LIMPIEZA,Correspondencia univoca
301009,1,1,BALDES PLASTICOS C/AGARRADERA DE 10 LTS,100.0,2024-06-21 00:00:00,2024-06-21 00:00:00,MATERIALES DE LIMPIEZA,Correspondencia univoca
301025,1,1,"VARILLA ROSCADA 304 DE 3/4""",100.0,2024-07-08 00:00:00,2025-12-01 00:00:00,FERRETERIA,Correspondencia univoca
301030,1,1,"ESPATULA 4 ""CON MANGO PLASTICO",100.0,2025-07-01 00:00:00,2025-07-01 00:00:00,FERRETERIA,Correspondencia univoca
301047,1,1,ENCHUFE DE 220 V-TP. CHINO,100.0,2025-04-01 00:00:00,2025-04-01 00:00:00,FERRETERIA,Correspondencia univoca
301049,1,1,ENCHUFE HEMBRA INDUS. 110V DE GOMA,100.0,2024-03-06 00:00:00,2024-03-06 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301051,1,1,ENCHUFE LEGRAND IP67 3P+T 32A,100.0,2024-04-09 00:00:00,2024-04-09 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301052,1,1,ENCHUFLE BLINDADO POLARIZADO 15A 125V,100.0,2024-06-24 00:00:00,2024-09-24 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301055,1,1,ENVASES PLASTICOS 150 ML,100.0,2025-11-01 00:00:00,2025-12-01 00:00:00,"ACEITE, FERRETERIA, MATERIALES DE LIMPIEZA",Correspondencia univoca
301062,1,1,"EMPAQUE VEGETAL DE 1/16 """,100.0,2024-07-03 00:00:00,2025-08-01 00:00:00,"FERRETERIA, REPUESTOS MECANICOS",Correspondencia univoca
301064,1,1,"EMPAQUE VEGETAL DE 1/8 """,100.0,2024-07-03 00:00:00,2025-08-01 00:00:00,"FERRETERIA, REPUESTOS MECANICOS",Correspondencia univoca
301069,1,1,ENCAUCHADO DE 2 PIEZAS AMARILLO,100.0,2024-06-21 00:00:00,2024-06-21 00:00:00,FERRETERIA,Correspondencia univoca
301070,1,1,ENCHUFE CLAVIJA 125 A IP67,100.0,2024-04-08 00:00:00,2025-06-01 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301071,1,1,ENCHUFE ADAPTADOR 110V,100.0,2024-03-06 00:00:00,2024-04-08 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301075,1,1,ENCHUFE CLAVIJA LEGRAND 63 AMP IP44,100.0,2024-03-06 00:00:00,2024-03-06 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301079,1,1,"EMPAQUE MERGOLLAR RAMIO-TEFLON 5/8""",100.0,2024-03-21 00:00:00,2024-03-21 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301080,1,1,"EMPAQUE MERGOLLAR TEFLONADO DE 1/2 """,100.0,2025-07-01 00:00:00,2025-12-01 00:00:00,"FERRETERIA, SERVICIOS DE MANTENIMIENTO",Correspondencia univoca
301081,1,1,"EMPAQUE MERGOLLAR TEFLONADO DE 1/4 """,100.0,2024-04-15 00:00:00,2025-11-01 00:00:00,"FERRETERIA, REPUESTOS MECANICOS, SERVICIOS DE MANTENIMIENTO",Correspondencia univoca
301082,1,1,"EMPAQUE MERGOLLAR TEFLONADO DE 1/8 """,100.0,2025-06-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301083,1,1,"EMPAQUE MERGOLLAR TEFLONADO DE 3/16 """,100.0,2024-08-08 00:00:00,2024-08-08 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301084,1,1,"EMPAQUE MERGOLLAR TEFLONADO DE 3/8 """,100.0,2025-07-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301085,1,1,"EMPAQUE MERGOLLAR TEFLONADO DE 5/16 """,100.0,2024-04-15 00:00:00,2025-07-01 00:00:00,"FERRETERIA, REPUESTOS MECANICOS",Correspondencia univoca
301088,1,1,"EMPAQUE SINTETICO GRAFITADO 1/8 """,100.0,2025-07-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301090,1,1,"EMPAQUE SINTETICO GRAFITADO DE 1/8 """,100.0,2024-04-15 00:00:00,2024-08-08 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301093,1,1,"EMPAQUE DE ASBESTO GRIS 1/8 """,100.0,2024-09-09 00:00:00,2024-09-09 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301095,1,1,"EMPAQUE DE CAUCHO CON ALMA DE NYLON 1/8""",100.0,2024-06-06 00:00:00,2024-06-06 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
