Nivel,Serie,Mes,Real,Prediccion
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-06,293273.34,45296.44
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-07,1031998.85,293273.34
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-08,30236.75,1031998.85
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-09,4637.45,30236.75
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-01,21785.99,36840.86
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-02,45492.86,21785.99
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-03,3600.0,45492.86
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-04,9977.0,3600.0
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-05,10385.16,9977.0
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-06,11334.88,10385.16
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-07,14339.36,11334.88
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-08,5850.0,14339.36
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,2025-09,740.0,5850.0
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-01,7720.0,9676.64
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-02,1500.0,7720.0
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-03,2104.2,1500.0
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-04,429.2,2104.2
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-05,3705.0,429.2
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-06,10707.75,3705.0
