FechaCont,ItemCode,Quantity,PrecioUnitario,SubTotal,CostoCalculado,DiferenciaCosto,ErrorAbsolutoCosto,ErrorRelativoCosto,ClasificacionDiferenciaMonetaria
2025-08-01,302693,4.0,,21.67,,,,,No evaluable
2021-11-11,PS00009,1.0,21.66,21.66,21.66,0.0,0.0,0.0,Coincidencia exacta
2022-11-01,P000236,1.0,21.62,21.62,21.62,0.0,0.0,0.0,Coincidencia exacta
2023-07-31,P003810,2.0,10.1,21.614,20.2,1.4140000000000015,1.4140000000000015,0.06542056074766361,Diferencia material
2021-03-09,P005368,6.0,3.6,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2021-07-13,P002434,12.0,1.8,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2021-10-01,P001319,3.0,7.2,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2021-10-07,P001193,12.0,1.8,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2021-10-07,P001192,12.0,1.8,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2021-11-04,P001369,12.0,1.8,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2022-01-06,P001537,4.0,5.4,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2023-02-02,P001137,60.0,0.36,21.6,21.599999999999998,3.552713678800501e-15,3.552713678800501e-15,1.644774851296528e-16,Coincidencia exacta
2023-05-02,P000019,12.0,1.8,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2023-08-01,P001579,2.0,10.8,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2023-10-19,P000293,24.0,0.9,21.6,21.6,0.0,0.0,0.0,Coincidencia exacta
2024-03-20,304097,10.0,,21.6,,,,,No evaluable
2025-06-01,305422,5.0,,21.57,,,,,No evaluable
2021-10-20,P000982,8.0,2.695,21.56,21.56,0.0,0.0,0.0,Coincidencia exacta
2022-05-09,P000592,1.0,21.56,21.56,21.56,0.0,0.0,0.0,Coincidencia exacta
2021-02-01,P005550,4.0,5.38,21.52,21.52,0.0,0.0,0.0,Coincidencia exacta
