FechaCont,ItemCode,Quantity,PrecioUnitarioSinDescuento,DescuentoUnitario,PrecioUnitario,SubTotal,Tipo,ParteTecnica,Tipo_norm,ParteTecnica_norm,ProveedorAnonimo,NaveAnonima
2024-05-23,PS00006,1.0,,,,137352.29,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_008,NAVE_005
2023-12-08,PS00006,1.0,130476.47,130476.47,130476.47,130476.47,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_004
2024-05-23,PS00006,1.0,,,,112384.04,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_008,NAVE_006
2023-02-10,P005870,1.0,110827.0,110827.0,110827.0,110827.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_010,NAVE_007
2023-08-22,P005870,1.0,110827.0,110827.0,110827.0,110827.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_010,NAVE_001
2024-09-03,PS00006,1.0,,,,109500.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_011,NAVE_002
2024-09-03,PS00006,1.0,,,,109500.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_011,NAVE_002
2024-09-03,PS00006,1.0,,,,109500.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_011,NAVE_002
2024-02-21,PS00006,1.0,,,,108414.99,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_001,NAVE_004
2024-05-29,303239,1.0,,,,106292.58,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_012,NAVE_008
2023-06-29,P005737,1.0,102500.0,102500.0,102500.0,102500.0,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_010,NAVE_002
2024-10-22,PS00006,1.0,,,,96250.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_013,NAVE_002
2024-07-03,PS00006,1.0,,,,96250.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_013,NAVE_002
2023-07-25,P008018,1.0,80000.0,80000.0,80000.0,88800.0,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_003
2023-07-25,P008018,1.0,80000.0,80000.0,80000.0,88800.0,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_003
2024-05-20,PS00006,1.0,,,,86059.63,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_001,NAVE_005
2023-11-13,P008187,32.0,0.0,0.0,2452.15,85530.99,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_005
2023-11-13,P008178,4.0,0.0,0.0,19326.97,84265.59,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_005
2024-09-20,PS00006,1.0,,,,83495.9,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_014,NAVE_002
2025-06-01,PS00006,1.0,,,,81863.95,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_001,NAVE_009
2023-11-13,PS00012,1.0,0.0,0.0,75060.4,81815.84,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_004,NAVE_005
2023-11-13,P008190,32.0,0.0,0.0,2340.68,81642.92,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_005
2023-11-13,PS00012,1.0,0.0,0.0,73795.0,80436.55,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_004,NAVE_006
2022-12-20,P005851,1.0,80000.0,80000.0,80000.0,80000.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_015,NAVE_001
2025-07-01,PS00006,1.0,,,,72125.93,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_003,NAVE_001
2025-07-01,PS00006,1.0,,,,72125.93,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_003,NAVE_001
2024-10-09,PS00006,1.0,,,,69916.4,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_001,NAVE_006
2024-05-20,PS00006,1.0,,,,68693.88,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_001,NAVE_010
2024-09-03,PS00006,1.0,,,,65197.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_016,NAVE_002
2023-11-13,P008187,24.0,0.0,0.0,2418.76,63274.76,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_006
2021-08-23,P004909,4.0,0.0,0.0,13150.0,62594.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_017,NAVE_001
2022-01-14,PS00012,1.0,0.0,0.0,61233.1,61233.1,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_004
2023-11-13,P008190,24.0,0.0,0.0,2308.8585,60399.73,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_006
2024-10-04,PS00006,1.0,,,,59753.18,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_002,NAVE_002
2022-07-22,PS00012,1.0,57320.64,57320.64,57320.64,57320.64,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_009
2023-11-13,PS00006,1.0,0.0,0.0,52000.0,56680.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_004,NAVE_005
2022-07-22,PS00012,1.0,53207.43,53207.43,53207.43,53207.43,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_009
2024-08-12,PS00006,1.0,,,,52990.7,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_018,NAVE_002
2021-08-23,P004909,4.0,0.0,0.0,13150.0,52600.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_017,NAVE_001
2023-11-16,P006617,1.0,0.0,0.0,49040.0,49040.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_010,NAVE_002
2023-11-24,P005757,1.0,0.0,0.0,49040.0,49040.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_010,NAVE_002
2023-09-26,P007848,2.0,0.0,0.0,22082.14,48580.71,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_004
2022-07-22,PS00006,1.0,44813.0,44813.0,44813.0,44813.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_009
2022-07-22,PS00006,1.0,44813.0,44813.0,44813.0,44813.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_009
2023-07-06,P007262,2.0,0.0,0.0,20473.0,42993.3,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_004,NAVE_010
2023-07-02,P007958,1.0,44750.0,2499.99992,42250.00008,42250.0,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_019,NAVE_005
2024-10-21,PS00006,1.0,,,,39615.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_020,NAVE_002
2022-06-20,PS00006,1.0,0.0,0.0,35550.0,39105.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_021,NAVE_009
2023-11-13,P008224,4.0,0.0,0.0,8934.64,38955.03,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_006
2022-10-06,P005587,1.0,38750.0,38750.0,38750.0,38750.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_022,NAVE_002
2022-12-19,P004408,1.0,37560.0,37560.0,37560.0,38686.8,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_005
2021-10-22,PS00006,1.0,0.0,0.0,38507.13,38507.13,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_023,NAVE_002
2023-09-01,P007865,1.0,35500.0,35500.0,35500.0,35500.0,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_024,NAVE_005
2021-09-13,P005266,1.0,0.0,0.0,34700.0,34700.0,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_017,NAVE_007
2024-07-08,302578,10.0,,,,32770.15,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_012,NAVE_002
2023-11-13,PS00006,1.0,0.0,0.0,30000.0,32700.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_004,NAVE_006
2021-01-19,PS00006,1.0,0.0,0.0,26300.0,32349.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_021,NAVE_004
2021-08-06,P005220,10.0,0.0,0.0,263.03,31266.3761,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_025,NAVE_001
2025-03-01,PS00006,1.0,,,,31250.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_026,NAVE_001
2025-06-01,PS00006,1.0,,,,30899.78,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_019,NAVE_001
2023-09-20,PS00006,1.0,0.0,0.0,30052.87,30052.87,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_027,NAVE_007
